tweet,cleaned_tweet,keywords
Tried the delta 8 gummies and something about that don’t sit right with me. LEGALIZE,tried the delta  gummies and something about that dont sit right with me legalize,"delta, dont, gummies, legalize, right, sit, tried"
" Even though I thankfully don’t smoke them anymore. I now go to the way-less-sketchy tobacco store down the street and pay $6 more for a cart that isn’t some concoction of the boofest delta 8 dabs ever made, horse piss, rat poison, and glycerin.", even though i thankfully dont smoke them anymore i now go to the waylesssketchy tobacco store down the street and pay  more for a cart that isnt some concoction of the boofest delta  dabs ever made horse piss rat poison and glycerin,"anymore, boofest, cart, concoction, dabs, delta, dont, glycerin, horse, isnt, pay, piss, poison, rat, smoke, store, street, thankfully, tobacco, waylesssketchy"
DELTA 8 B CRACKHEAD SHIT I STG,delta  b crackhead shit i stg,"crackhead, delta, shit, stg"
yoo these delta 8 gummies have me sprawled out on the floor also my dad just showed me his penis,yoo these delta  gummies have me sprawled out on the floor also my dad just showed me his penis,"dad, delta, floor, gummies, just, penis, showed, sprawled, yoo"
" Yall tried that delta 8 shit, really be getting u high asl ", yall tried that delta  shit really be getting u high asl ,"asl, delta, getting, high, really, shit, tried, yall"
Yeah delta 8 is not the same . I’ve tried it because it’s cheaper but I’ll just stick with the dispensary,yeah delta  is not the same  ive tried it because its cheaper but ill just stick with the dispensary,"cheaper, delta, dispensary, ill, ive, just, stick, tried, yeah"
delta 8 more like nah i'm straight,delta  more like nah im straight,"delta, im, like, nah, straight"
I can't seem to handle full blown thc. Delta 8 is nice though,i cant seem to handle full blown thc delta  is nice though,"blown, delta, handle, nice, thc"
Definitely not my finest hour but I’ve been really enjoying Delta 8 and South Park lately,definitely not my finest hour but ive been really enjoying delta  and south park lately,"definitely, delta, enjoying, finest, hour, ive, lately, park, really, south"
Used to use insomnia as an excuse to drink. Delta 8 is way better for that. Might really be pretty done with alcohol.,used to use insomnia as an excuse to drink delta  is way better for that might really be pretty done with alcohol,"alcohol, better, delta, drink, excuse, insomnia, pretty, really, use, used, way"
delta 8 is actually so iconic,delta  is actually so iconic,"actually, delta, iconic"
delta 8 do be making me thr*w up on accident,delta  do be making me thrw up on accident,"accident, delta, making, thrw"
" They all ready are, this Georgia delta 8 or 9 or whatever the fuck it's called. Is no bueno.", they all ready are this georgia delta  or  or whatever the fuck its called is no bueno,"bueno, called, delta, fuck, georgia, ready"
i cant believe there went and legalised mid thc juice. tf is a delta 8,i cant believe there went and legalised mid thc juice tf is a delta ,"believe, delta, juice, legalised, mid, tf, thc, went"
Delta 8 is cool for 1 mins,delta  is cool for  mins,"cool, delta, mins"
Delta 8 is fabulous for my back injury pain. It’s legal in every state. My favorite brands are Koi and Area 52. You can get it at any CBD store.,delta  is fabulous for my back injury pain its legal in every state my favorite brands are koi and area  you can get it at any cbd store,"area, brands, cbd, delta, fabulous, favorite, injury, koi, legal, pain, state, store"
I feel like I’m running a scam anytime I ask people if they’ve smoked Delta 8 thc lmao,i feel like im running a scam anytime i ask people if theyve smoked delta  thc lmao,"anytime, ask, delta, feel, im, like, lmao, people, running, scam, smoked, thc, theyve"
" I gotta say, I am pretty impressed with Delta 8.", i gotta say i am pretty impressed with delta ,"delta, gotta, impressed, pretty, say"
Why are people losing their lively hoods because they're intaking a federal legal substance delta 8 and full spectrum CBD. Just because the drug test can't tell the difference. Its sad and should be changed right?,why are people losing their lively hoods because theyre intaking a federal legal substance delta  and full spectrum cbd just because the drug test cant tell the difference its sad and should be changed right,"cbd, changed, delta, difference, drug, federal, hoods, intaking, just, legal, lively, losing, people, right, sad, spectrum, substance, tell, test, theyre"
" I get those delta 8 carts for $30

They do the trick", i get those delta  carts for they do the trick,"carts, delta, trick"
I had to pop delta 8 and relax,i had to pop delta  and relax,"delta, pop, relax"
" gonna be honest with myself and say that if they sold crack at the convenience store the same way they do delta 8 vapes, i would probably have tried it a couple times already", gonna be honest with myself and say that if they sold crack at the convenience store the same way they do delta  vapes i would probably have tried it a couple times already,"convenience, couple, crack, delta, gonna, honest, probably, say, sold, store, times, tried, vapes, way"
" Accidentally took 45 mg of delta 8. 
@gladneysgirl
 send help", accidentally took  mg of delta  gladneysgirl send help,"accidentally, delta, gladneysgirl, help, mg, send, took"
" It’s basically a disposable delta-8 cartridge lol, delta-8 is a compound they found in the hemp (cbd) plant that’s almost the same as thc (delta-9) but the effects are less *intense*

So you get high but not out of your mind to Mars high lol", its basically a disposable delta cartridge lol delta is a compound they found in the hemp cbd plant thats almost the same as thc delta but the effects are less intenseso you get high but not out of your mind to mars high lol,"basically, cartridge, cbd, compound, delta, disposable, effects, hemp, high, intenseso, lol, mars, mind, plant, thats, thc"
delta 8 aint bad tbh,delta  aint bad tbh,"aint, bad, delta, tbh"
This delta 8 just changed me life,this delta  just changed me life,"changed, delta, just, life"
