date,tweet,cleaned_tweet,keywords,polarity,subjectivity
Aug 21,We sell delta 8 live resin and its really nice!,we sell delta  live resin and its really nice,"delta, live, nice, really, resin, sell",0.36818181818181817,0.75
Aug 21,It's a hot topic . ∆8 The Southern Hemp Expo was full of Delta 8.,its a hot topic   the southern hemp expo was full of delta ,"delta, expo, hemp, hot, southern, topic",0.19999999999999998,0.46666666666666673
Aug 21,Rocked off of delta 8 pens and gummies from Huck’s,rocked off of delta  pens and gummies from hucks,"delta, gummies, hucks, pens, rocked",0.0,0.0
Aug 21,//weed Forever grateful that delta 8 affects me as much as reg weed does,weed forever grateful that delta  affects me as much as reg weed does,"affects, delta, does, forever, grateful, reg, weed",0.2,0.2
Aug 21,My shisha guy was trying to put me on that delta 8 bullshit,my shisha guy was trying to put me on that delta  bullshit,"bullshit, delta, guy, shisha, trying",0.0,0.0
Aug 21,I’m cryin bc delta 8 will really have u on yo asssss,im cryin bc delta  will really have u on yo asssss,"asssss, bc, cryin, delta, im, really, yo",0.2,0.2
Aug 21,delta 8 edibles ain’t even all that,delta  edibles aint even all that,"aint, delta, edibles",0.0,0.0
Aug 21,delta-8 is just boneless THC,delta is just boneless thc,"boneless, delta, just, thc",0.0,0.0
Aug 22,yeah tht delta 8 sumn else,yeah tht delta  sumn else,"delta, sumn, tht, yeah",0.0,0.0
Aug 22,You guys be getting high off delta 8? tf am I doing wrong I ate a whole bag of caramels and felt nothing,you guys be getting high off delta  tf am i doing wrong i ate a whole bag of caramels and felt nothing,"ate, bag, caramels, delta, doing, felt, getting, guys, high, tf, wrong",-0.046666666666666655,0.6133333333333333
Aug 22,"Yo, I just wanna put this out there, Delta 8 THC fuckin works. It's honestly quite lovely.",yo i just wanna put this out there delta  thc fuckin works its honestly quite lovely,"delta, fuckin, honestly, just, lovely, quite, thc, wanna, works, yo",0.55,0.825
Aug 22,Ive been completely unable to find weed so Im gonna fuck my life up on a delta-8 vape.,ive been completely unable to find weed so im gonna fuck my life up on a delta vape,"completely, delta, fuck, gonna, im, ive, life, unable, vape, weed",-0.45,0.55
Aug 22,Delta 8 gummies had me STUCK. Neva touching that shit again,delta  gummies had me stuck neva touching that shit again,"delta, gummies, neva, shit, stuck, touching",0.15,0.65
